originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
n41 09.580 w071 36.126	andy's way	27
2nd cliff path	block island public school	45
in my bed! (gifted)	dinhgy beach	45
re-hidden on 4/30/16	new shoreham	45
re-hidden on 5/28/16	new shoreham	45
playground book box	payne overlook	46
under stairs by gazebo	dunn's bridge	46
lakeside dr	snake hole road	46
inside a log	block island chamber of commerce	47
neptune house bush by flag pole	beane point	47
sit your butt or take a putt	tom's point	47
tin can in ruins	martin's point	47
john e. tughole	rodman's hollow	47
lakeside drive	hodge family wildlife preserve	47
sit your but or take a putt	tom's point	47
pettit lot	long lot trail	48
none given	beane point	48
firehouse bingo	fresh pond	48
sahara's field	ballard's beach	48
"near chef statue, under boat"	sachem pond	50
hygeia house yard	snake hole road	50
garden in downtown	beane point	50
a kind local	block island historical society	50
rebecca statue	greenway trail	50
wwi memorial	block island historical society	50
tree trunk	greenway trail	50
bingo prize	ball o' brien park	50
tennis courts	lewis point	50
heinz field	hodge family wildlife preserve	50
entrance of tulip and avatar	beane point	50
bi playground	spring pond	50
gift	north light	51
unknown	cannon at legion park	51
ragged sailor building alley under hydrangeas	airport	51
take a putt	block island state airport	51
atop porta potty heinz field	airport	51
mary macgill store	martin trail	52
walkers welcome	grace's cove	52
in shrub near rebeccas restaurant	new shoreham	52
walking path	legion park	52
pots and kettles	dickens point	52
in a boot	new harbor	53
lakeshore drive	snake hole road	53
gifted by clever friends	fresh pond	53
in veterans park	nathan mott park	53
toy boat race	grace's cove	53
arts & craft guild	martin trail	53
lobster pot christmas tree	spar point	54
hidden on a support beam of a gazebo	surf beach	54
playground	payne road greenway	54
stone wall	charlestown beach	54
st andrews stone wall chapel st	fresh pond	54
bagel shop	block island public school	54
in my backpack!	dinhgy beach	54
duval	vaill beach	54
under a canon near rustic rides	corn neck road	55
indian grave yard	'indian' cemetery	55
flower walk	plover hill	55
west side rd	west beach	55
gifted to me by a friend who found it.	spring pond	55
sea breeze inn	dunn's bridge	56
hygeia house side driveway	greenway	56
turnstile up from smilin' thru in a cedar tree in open field	harrison loop	56
united states	block island state airport	56
se lighthouse	southeast light	57
walkers way	andy's way	57
in a tree trunk	spring street	57
not sure	barlow's point	57
bingo	spring pond	57
dorrys pathway	andy's way	58
"window sill in mystic, ct"	meadow hill	58
stonewall on backside of graveyard	vaill beach	58
red bird parking lot	spring pond	58
walkers welcome -in tree	tom's point	58
path off ocean ave.	post office	58
tree stump	spring street	58
heinz field on top of porta potty	tom's point	58
near paul garra memorial bench	vaill beach	58
playground tree	payne road greenway	59
northern clayhead :)	clay head trail	59
trails off connecticut ave	mott trail	60
lighthouse	southeast light	60
liotto	long lot trail	60
small garden behind club soda	ballard's beach	60
between dorries and gracies	grace's cove	60
dories	enchanted forest	60
clayhead in a root!!! :)	clay head trail	61
bluestone	charlestown beach	61
painted rock	payne overlook	62
west side	west beach	63
outside beachhead	surf beach	63
pots&kettles area	lewis point	63
next to fence in clayhead	clay head trail	63
dingy dock	dinhgy beach	64
in a tree	spring street	64
john e pond	fresh pond	64
dorries	dorry's cove	64
stone wall near beachead picnic area	ballard's beach	66
mansion ruins	mansion beach	66
gazebo at ocean view	ocean view pavilion	66
ocean view- eaves of gazebo	ocean view pavilion	66
second bluffs	mohegan bluffs	67
american legion	legion park	67
middle pond	middle earth	67
grove point	spar point	67
clayhead in a tree	clay head trail	67
green gables	greenway	68
mailbox at labyrinth	sacred labyrinth	68
labrynth	sacred labyrinth	68
wild life refuge	hodge family wildlife preserve	68
overlook mohegan	payne overlook	69
old bluffs overlook	payne overlook	69
across from cemetery	dodge cemetery	69
cemetery stone wall	dodge cemetery	69
fred benson snack bar	fred benson town beach	70
2nd bluff	mohegan bluffs	70
2nd bluffs	mohegan bluffs	71
old mill loop- tree	old mill road	72
canon	cannon at legion park	72
near harborside inn	new harbor	72
tree at indian cemetary	'indian' cemetery	72
overlook wall	attwood overlook	72
ocean view garden	ocean view pavilion	72
nathan motts sign	nathan mott park	73
black rock trails	black rock beach	73
ocean view hotel	ocean view pavilion	73
black rock overlook	black rock beach	73
grace point	beane point	73
loefflers loop	loffredo loop	74
hodges	hodge family wildlife preserve	75
black rock bluff	black rock beach	75
atwood	attwood overlook	75
cooneymus road	cooneymus beach	76
sandy point	spar point	76
ocean view park	ocean view pavilion	76
martin lots	martin's point	76
mill pond rd	old mill road	76
black rock road	black rock beach	77
old mill loop	old mill road	77
enchanted woods	enchanted forest	77
gracies	grace's cove	77
clayhead	clay head trail	79
mott property	martin property	79
solveiken property	solviken	79
solvieken dog water fountain	solviken	79
locker room chamber of commerce	block island chamber of commerce	79
off old mill rd	old mill road	79
old pet cemetery	dodge cemetery	80
martins lot	martin's point	80
andies way	andy's way	80
mohican bluff	mohegan bluffs	81
north lighthouse	north light	81
mohegan stairs	mohegan trail	81
rodmans hollow area	rodman's hollow	82
cooneymus rd	cooneymus beach	82
cooneymus rd.	cooneymus beach	82
behind historical society	block island historical society	82
laredo loop	loffredo loop	83
rodhams hollow	rodman's hollow	83
southeasr lighthouse window	southeast light	84
bunnell beach	block island state beach	86
beach ave. trails	baby beach	86
woods pond	great salt pond	86
ocean view path near ballards	ocean view pavilion	86
cooneymous trail	mott trail	86
maze in a tree	the maze	86
long lots	long lot trail	86
in a tree near the gazebo	the maze	86
mazzur trail	elizabeth dickens trail	86
marsh hollow entrance-left in bike basket	marsh hawk hollow	86
mott nature trail	mott trail	86
jones trail	elizabeth dickens trail	86
1661 farm	abrams animal farm	86
andys way rock wall	andy's way	86
breed land trail	mott trail	86
lewis dickens trail	hyland trail	86
black rock trail	mott trail	86
old mill trail	elizabeth dickens trail	86
mohegan bluff lookout	mohegan bluffs	86
in tree on black rock rd.	black rock beach	86
golden grove / settlers rock	black rock beach	86
southeast lighthouse	southeast light	86
town fountain	fred benson town beach	86
south east lighthouse rock	black rock beach	86
indian monument across from hog pen!	'indian' cemetery	86
tree in front of harbor church	new harbor	86
stone wall ocean ave before depot	ocean view pavilion	86
mohegan bluff near overlook	attwood overlook	86
pebbly beach	block island state beach	86
vfw park	ball o' brien park	86
‘rona orb in the lobster trap tree	the maze	86
ocean house	ocean view pavilion	86
clay head maze	the maze	86
old mill near nathan mottt	nathan mott park	86
dickenson trail	elizabeth dickens trail	86
cooneymus cove	cow cove	86
tree near horse farm	mitchell farm	86
legion way in a tree	andy's way	86
dory's beach	block island state beach	86
grace's beach	block island state beach	86
turnip trail	elizabeth dickens trail	86
green way off cooneymus rd. in tall grass	andy's way	86
dickens path in tree	dickens point	86
bottom of broken stairs by overlook	attwood overlook	86
winfield dodge farm	turnip farm	86
trustrum dodge memorial	dodge cemetery	86
tree on legion way outside of oark	andy's way	86
clayhead maze	the maze	86
"rodmans hollow, in a tree"	rodman hollow	86
highland trail	elizabeth dickens trail	86
ocean view pavillion in a pile of bricks	ocean view pavilion	86
benson beach	block island state beach	86
maze/ clayhead	the maze	86
long trail pond	elizabeth dickens trail	86
long lot path in a stone wall	long lot trail	86
lewis dickens preserve	dickens point	86
"maze, in a tree"	the maze	86
dories cove	dorry's cove beach	86
bench near old mill marker	old harbor point	86
martin lot	martin property	86
the point	barlow's point	86
under a piece of driftwood at the poiny	cannon at legion park	86
between mansion and scotch buried in sand (pumpkin)	mansion beach	86
inside the cannon!	the maze	86
american legion memorial pole	legion park	86
magellan's tree	andy's way	86
south east beach	baby beach	86
esta's park	ball o' brien park	86
west side beach	baby beach	86
corn neck rd in yellow moss rock wall next	black rock beach	86
martin lots in stonewall	martin property	86
haunted trail	elizabeth dickens trail	86
square stone wall off of cooneymus	cooneymus beach	86
winfield dodge foundation	dodge cemetery	86
old mill in a rock pile	old mill road	86
"the vale, bi"	the maze	86
foundation off of cooneymus rd.	cooneymus beach	86
near the statue of hebe (cupbearer to the gods at mount olympus)	block island chamber of commerce	86
dorries cove	cow cove	86
swamp/ we love you	fresh swamp	86
near dinghy beach	baby beach	86
dickens preserve	hodge family wildlife preserve	86
kings lot	long lot trail	86
path of old hotel	block island chamber of commerce	86
in town	fred benson town beach	86
2nd bluffs near railing	mohegan bluffs	86
dodge farm	abrams animal farm	86
second bluffs trail	hyland trail	86
murphy's trail	elizabeth dickens trail	86
high street stone wall	spring street	86
rock wall near block island school	black rock beach	86
memorial bench in old harbor	new harbor	86
behind the surf restaurant	surf beach	86
peckham farm road	turnip farm	86
hodge family wildlife reserve (in a tree)	hodge preserve	86
"the enchanted forrest, high up in a tree"	enchanted forest	86
the cannon	cannon at legion park	86
ball o'brien park tennis courts	ball o' brien park	86
murphy trail	elizabeth dickens trail	86
"bluffs, under some rocks"	mohegan bluffs	86
site of ocean view hotel under wooden boardwalk.	ocean view pavilion	86
carey lot by the bear (??)	long lot trail	86
behind mohegan bluff monument stone	mohegan bluffs	86
path to dodge cemetary in a tree	dodge cemetery	86
in a tree at the ocean view foundation	cannon at legion park	86
path in front of water street inn	spring street	86
carey lot	long lot trail	86
under a bench across from town hall	fred benson town beach	86
the narragansett inn	the maze	86
hiking trail	elizabeth dickens trail	86
jetty across from the national in the rocks	the maze	86
rodmans hollow behind concrete sign	marsh hawk hollow	86
path to mohegan bluff overlook	attwood overlook	86
under cannon	cannon at legion park	86
the canon at the veterans' monument	cannon at legion park	86
winn dodge preserve	hodge family wildlife preserve	86
winfield dodge	win dodge	86
winfield dodge preserve	dodge cemetery	86
foundation at winn dodge	dodge cemetery	86
north end block island	north light	86
hole in manisses cemetery sign	dodge cemetery	86
"near bottom of ""lonely stairs"" in a wall near a tree with signs like: hogwarts, winterfell, etc. off beacon hill road"	block island chamber of commerce	86
under signage tree in the enchanted loop	enchanted forest	86
black rock weather station	black rock beach	86
old mill rd by horses in rock wall	black rock beach	86
dorie's cove	cow cove	86
hodge nature preserve	hodge preserve	86
"behind 'god bless usa"" sign at sit your butt or take a putt"	cannon at legion park	86
beach ave loop	block island state beach	86
maze trail	clay head trail	86
the hodge family preserve	hodge family wildlife preserve	86
across from the labyrinth	sacred labyrinth	86
inside cannon (baby size float)	baby beach	86
sunset beach	block island state beach	86
rodmans hollow short loop	harrison loop	86
nathan mott memorial park	legion park	86
