originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
lewis-dickens trail in tall grass	clay head trail	86
bunnell beach	mansion beach	62
on a rock in the water off of spring street	settler's rock	86
beach ave. trails	clay head trail	62
leffredo loop	loffredo loop	92
woods pond	great salt pond	86
martin lots under the rock wall	settler's rock	86
hyland trail	mohegan trail	72
grace cove beach- in a log	mansion beach	86
ocean view path near ballards	ocean view pavilion	86
trail on beach road	scotch beach	86
in a boot	new harbor	53
win dodge preserve	win dodge	90
clay head trail. in between a tree.	clay head trail	90
dodge preserve	hodge family wildlife preserve	86
mohegan bluffs overlook	mohegan bluffs	90
se lighthouse	southeast light	57
overlook mohegan	payne overlook	69
cooneymous trail	payne farm trail	56
greenway near bench	bi greenway	86
2nd bluffs	mohegan bluffs	71
fresh swamp	fresh swamp	100
magellan's tree trail	settler's rock	86
scotch beach path	scotch beach	95
maze in a tree	'the maze'	86
the maze behind stone wall!	'the maze'	90
long lots	great salt pond	50
the greenway between old mill road and cooneymus road in a wall behind a rock.	settler's rock	86
main trail between cooneymus and old mil road on ground in brush	clay head trail	86
greenway trail off beacon hill	beacon hill	90
tree, near enchanted forest	enchanted forest	90
the maze	'the maze'	100
on the hiking path near little sachem pond	'the maze'	86
near fresh pond in long stone wall adjacent to field	sachern pond	86
greenaway trail behind stone wall	clay head trail	86
long lots/the maze	'the maze'	90
fresh pond behind wall at base of tree	sachern pond	86
in a tree near the gazebo	'the maze'	86
turnip farm	turnip farm	100
beach across from beachhead (maybe baby beach)	mansion beach	86
greenway north of beacon hill	beacon hill	90
mazzur trail	mohegan trail	64
marsh hollow entrance-left in bike basket	rodman's hollow	86
mott nature trail	mohegan trail	60
loffredo loop	loffredo loop	100
black rock road	black rock	90
rodman's hollow	rodman's hollow	100
fresh pond in grass	sachern pond	86
rodman's hollow-on the side of the jones trail	rodman's hollow	90
fresh pond	fresh pond greenway	90
rodman's hollow in a tree	rodman's hollow	90
fresh pond preserve	sachern pond	86
rodman's hollow short loop	rodman's hollow	90
rodman hollow side of trail	rodman's hollow	86
rodman's hollow, near peckham farm	rodman's hollow	90
entrance to rodman's hollow from fresh pond	rodman's hollow	90
fresh pond trail heading to rodman's hollow in a grouping of stones	rodman's hollow	90
